Año	Mes	Dia	DiaSemana	Hora	Minuto	Cuenta	A/N
2018	7	3	1	       	0	0	500	Normal
2018	7	3	1	       	0	10	501	Normal
2018	7	3	1	       	0	20	502	Normal
2018	7	3	1	       	0	30	500	Normal
2018	7	3	1	       	0	40	500	Normal
2018	7	3	1	       	0	50	500	Normal
2018	7	3	1	       	1	0	499	Normal
2018	7	3	1	       	1	10	500	Normal
2018	7	3	1	       	1	20	499	Normal
2018	7	3	1	       	1	30	501	Normal
2018	7	3	1	       	1	40	501	Normal
2018	7	3	1	       	1	50	499	Normal
2018	7	3	1	       	2	0	499	Normal
2018	7	3	1	       	2	10	499	Normal
2018	7	3	1	       	2	20	500	Normal
2018	7	3	1	       	2	30	499	Normal
2018	7	3	1	       	2	40	500	Normal
2018	7	3	1	       	2	50	500	Normal
2018	7	3	1	       	3	0	499	Normal
2018	7	3	1	       	3	10	499	Normal
2018	7	3	1	       	3	20	500	Normal
2018	7	3	1	       	3	30	500	Normal
2018	7	3	1	       	3	40	500	Normal
2018	7	3	1	       	3	50	498	Normal
2018	7	3	1	       	4	0	499	Normal
2018	7	3	1	       	4	10	500	Normal
2018	7	3	1	       	4	20	500	Normal
2018	7	3	1	       	4	30	500	Normal
2018	7	3	1	       	4	40	501	Normal
2018	7	3	1	       	4	50	501	Normal
2018	7	3	1	       	5	0	502	Normal
2018	7	3	1	       	5	10	499	Normal
2018	7	3	1	       	5	20	498	Normal
2018	7	3	1	       	5	30	500	Normal
2018	7	3	1	       	5	40	499	Normal
2018	7	3	1	       	5	50	501	Normal
2018	7	3	1	       	6	0	500	Normal
2018	7	3	1	       	6	10	499	Normal
2018	7	3	1	       	6	20	500	Normal
2018	7	3	1	       	6	30	498	Normal
2018	7	3	1	       	6	40	498	Normal
2018	7	3	1	       	6	50	500	Normal
2018	7	3	1	       	7	0	996	Normal
2018	7	3	1	       	7	10	996	Normal
2018	7	3	1	       	7	20	997	Normal
2018	7	3	1	       	7	30	997	Normal
2018	7	3	1	       	7	40	1003	Normal
2018	7	3	1	       	7	50	1002	Normal
2018	7	3	1	       	8	0	1000	Normal
2018	7	3	1	       	8	10	996	Normal
2018	7	3	1	       	8	20	1002	Normal
2018	7	3	1	       	8	30	999	Normal
2018	7	3	1	       	8	40	998	Normal
2018	7	3	1	       	8	50	999	Normal
2018	7	3	1	       	9	0	1001	Normal
2018	7	3	1	       	9	10	998	Normal
2018	7	3	1	       	9	20	1001	Normal
2018	7	3	1	       	9	30	1005	Normal
2018	7	3	1	       	9	40	1004	Normal
2018	7	3	1	       	9	50	1000	Normal
2018	7	3	1	       	10	0	999	Normal
2018	7	3	1	       	10	10	1003	Normal
2018	7	3	1	       	10	20	1005	Normal
2018	7	3	1	       	10	30	1000	Normal
2018	7	3	1	       	10	40	1001	Normal
2018	7	3	1	       	10	50	1996	Anomalia
2018	7	3	1	       	11	0	998	Normal
2018	7	3	1	       	11	10	1001	Normal
2018	7	3	1	       	11	20	999	Normal
2018	7	3	1	       	11	30	996	Normal
2018	7	3	1	       	11	40	1004	Normal
2018	7	3	1	       	11	50	999	Normal
2018	7	3	1	       	12	0	999	Normal
2018	7	3	1	       	12	10	999	Normal
2018	7	3	1	       	12	20	999	Normal
2018	7	3	1	       	12	30	998	Normal
2018	7	3	1	       	12	40	1002	Normal
2018	7	3	1	       	12	50	1003	Normal
2018	7	3	1	       	13	0	999	Normal
2018	7	3	1	       	13	10	1002	Normal
2018	7	3	1	       	13	20	998	Normal
2018	7	3	1	       	13	30	997	Normal
2018	7	3	1	       	13	40	1002	Normal
2018	7	3	1	       	13	50	1001	Normal
2018	7	3	1	       	14	0	1003	Normal
2018	7	3	1	       	14	10	1000	Normal
2018	7	3	1	       	14	20	1002	Normal
2018	7	3	1	       	14	30	997	Normal
2018	7	3	1	       	14	40	997	Normal
2018	7	3	1	       	14	50	1001	Normal
2018	7	3	1	       	15	0	1001	Normal
2018	7	3	1	       	15	10	997	Normal
2018	7	3	1	       	15	20	1001	Normal
2018	7	3	1	       	15	30	995	Normal
